SITECODE,PERIOD,LU_INT,LU_PROCESS,GP,SGP,CONTEXT,BASIC_INT,PARENT_CONTEXT,BASIC_PROCESS,ACC_NO,MATERIAL,COIN_TYPE,COIN_REGIME,RULER,COIN_EDATE,COIN_LDATE,DENOMINATION,DIAMETER,MINT,COIN_MONEYER,COIN_CONDITION,COIN_REFS,COIN_NOTE,ASS_TPQ,ASS_TAQ,CONEMP
A14-33,6.4,E14,,278,,334142,DUMPED LAYER,334334,,33103,COPPER ALLOY,JETTON,N,,1586,1635,,19,,,,"Cf Mitchiner 1988, 377 et seq.",,0,0,
A14-33,6.4,E14,,278,,334142,DUMPED LAYER,334334,,33104,COPPER ALLOY,,,,1612,1619,,,,,,,,0,0,
A14-33,6.4,E14,,278,,334142,DUMPED LAYER,334334,,33105,COPPER ALLOY,COPY,R,,330,402,,12,,,CORR,"worn, corroded",,0,0,
A14-33,6.4,E14,,278,,334142,DUMPED LAYER,334334,,33106,COPPER ALLOY,,,,0,0,,,,,,,,0,0,
A14-33,6.4,E14,,278,,334142,DUMPED LAYER,334334,,33107,COPPER ALLOY,COPY,R,CONSTANS,347,348,,13,,,,,,0,0,
A14-33,99,-,,,,334944,OTHER,334942,,33123,COPPER ALLOY,COIN,R,TETRICUS I,271,274,RADIATE,17,,,,"cf RIC 5 pt 1, 407 no.56 (or 59).",,0,0,
A14-33,99,-,,,,334944,OTHER,334942,,33124,COPPER ALLOY,COIN,R,COMMODUS,179,179,SESTERTIUS,29,ROME,,,"RIC 3, 342 no.1599",,0,0,
A14-33,99,-,,,,334944,OTHER,334942,,33132,IRON,,,,1800,2000,,,,,,,,0,0,
A14-33,,,,,,339999,,,,33038,COMPOSITE,,,,1200,1500,,,,,NA,,,0,0,
A14-33,,,,,,339999,,,,33041,COPPER ALLOY,COPY,R,,100,260,,25,,,CORR,,,0,0,
A14-33,,,,,,339999,,,,33046,COPPER ALLOY,COIN,R,CONSTANTINE I,321,321,NUMMUS,19,TRIER,,,"RIC 7, 190 no.303",,0,0,
A14-33,,,,,,339999,,,,33047,COPPER ALLOY,COPY,R,CONSTANTIUS II,354,364,,13,,,,,,0,0,
A14-33,,,,,,339999,,,,33048,COPPER ALLOY,COIN,R,CONSTANTINE II,332,332,NUMMUS,,LYON,,,"cf RIC 7, 138 no 250",,0,0,
A14-33,,,,,,339999,,,,33049,COPPER ALLOY,COPY,R,,330,340,,13,,,,,,0,0,
A14-33,,,,,,339999,,,,33050,COPPER ALLOY,COPY,R,,275,402,,16,,,CORR,,,0,0,
A14-33,,,,,,339999,,,,33054,COPPER ALLOY,COPY,R,,335,335,,16,,,FRAG,,,0,0,
A14-33,,,,,,339999,,,,33055,COPPER ALLOY,COIN,R,CONSTANTINE I,326,326,NUMMUS,19,TRIER,,,"cf RIC 7, 209 no.475. 
",,0,0,
A14-33,,,,,,339999,,,,33056,COPPER ALLOY,COPY,R,,275,402,,15,,,CORR,"broken, worn, corroded",,0,0,
A14-33,,,,,,339999,,,,33057,COPPER ALLOY,COPY,R,,330,335,,18,,,,,,0,0,
A14-33,,,,,,339999,,,,33058,COPPER ALLOY,COIN,R,MAXENTIUS,308,310,NUMMUS,28,ROME,,CORR,"cf RIC 6, no. 100",,0,0,
A14-33,,,,,,339999,,,,33060,COPPER ALLOY,COPY,R,TETRICUS I,275,285,RADIATE,13,,,,"Cf RIC 5 pt 2, 408 no.87",,0,0,
A14-33,,,,,,339999,,,,33061,COPPER ALLOY,COPY,R,,330,364,,14,,,WORN,,,0,0,
A14-33,,,,,,339999,,,,33062,LEAD,,,,0,0,,,,,,,,0,0,
A14-33,,,,,,339999,,,,33075,IRON,,,,0,0,,,,,,,,0,0,
A14-33,,,,,,339999,,,,33077,COPPER ALLOY,,,,0,0,,,,,,,,0,0,
A14-33,,,,,,339999,,,,33116,COPPER ALLOY,COIN,R,,330,340,NUMMUS,17,,,CORR,,,0,0,
A14-33,,,,,,339999,,,,33141,GLASS,,,,0,0,,,,,,,,0,0,
